province,cluster_id,cluster_name,exception_labels,pathway_evidence,pathway_class,pathway_score,specific_evidence
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | E. coli | Ceftazidime,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | K. pneumoniae | Ertapenem,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Beijing,2,Urban-industrial wastewater core,matrix hotspot,soil | tetracyclines | S. aureus | Penicillin G,Strong lead,21,soil tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Levofloxacin,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Tobramycin,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Imipenem,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | P. aeruginosa | Amikacin,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Ciprofloxacin,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Ertapenem,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | P. aeruginosa | Imipenem,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Nitrofurantoin,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Tigecycline,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | S. aureus | Amikacin,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Ceftazidime,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Cefotetan,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Amikacin,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | P. aeruginosa | Aztreonam,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Meropenem,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Cefepime,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Ampicillin,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Gentamicin,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Aztreonam,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Cefotetan,Strong lead,21,sediment tetracyclines burden >= p90
Beijing,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Cefotaxime,Strong lead,21,sediment tetracyclines burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | sulfonamides | P. aeruginosa | Piperacillin,Strong lead,21,sediment sulfonamides burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | sulfonamides | S. aureus | Cefoxitin,Strong lead,21,sediment sulfonamides burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | sulfonamides | P. aeruginosa | Aztreonam,Strong lead,21,sediment sulfonamides burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | E. coli | Ceftazidime,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Piperacillin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Polymyxin B,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Cefazolin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | A. baumannii | Amikacin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Levofloxacin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | S. aureus | Amikacin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | A. baumannii | Gentamicin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Ceftazidime,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | A. baumannii | Polymyxin B,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | E. coli | Cefuroxime,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot; signal amplifier,sediment | fluoroquinolones | P. aeruginosa | Polymyxin B,Strong lead,21,sediment fluoroquinolones burden >= p90; most influential province in LOO check
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | E. coli | Ceftriaxone,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | S. aureus | Nitrofurantoin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Imipenem,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | sulfonamides | K. pneumoniae | Aztreonam,Strong lead,21,sediment sulfonamides burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Tobramycin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | A. baumannii | Imipenem,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | sulfonamides | A. baumannii | Gentamicin,Strong lead,21,sediment sulfonamides burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Meropenem,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,signal amplifier,sediment | macrolides | P. aeruginosa | Tobramycin,Strong lead,21,most influential province in LOO check
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Amikacin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Ciprofloxacin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Nitrofurantoin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | S. aureus | Clindamycin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | sulfonamides | K. pneumoniae | Ampicillin,Strong lead,21,sediment sulfonamides burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | E. coli | Gentamicin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Gentamicin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Ciprofloxacin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Gentamicin,Strong lead,21,sediment fluoroquinolones burden >= p90
Chongqing,3,Inland surveillance-gap belt,matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Ertapenem,Strong lead,21,sediment fluoroquinolones burden >= p90
Fujian,1,Eastern production-infrastructure belt,signal amplifier,sediment | macrolides | K. pneumoniae | Ampicillin,Strong lead,21,most influential province in LOO check
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | sulfonamides | P. aeruginosa | Piperacillin,Strong lead,21,sediment sulfonamides burden >= p90; environmental record count high for sediment sulfonamides
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | sulfonamides | S. aureus | Cefoxitin,Strong lead,21,sediment sulfonamides burden >= p90; environmental record count high for sediment sulfonamides
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | sulfonamides | P. aeruginosa | Aztreonam,Strong lead,21,sediment sulfonamides burden >= p90; environmental record count high for sediment sulfonamides
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Levofloxacin,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Tobramycin,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Imipenem,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | E. coli | Ceftazidime,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Piperacillin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | P. aeruginosa | Amikacin,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Polymyxin B,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Cefazolin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Ciprofloxacin,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Ertapenem,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | macrolides | S. aureus | Penicillin G,Strong lead,21,sediment macrolides burden >= p90; environmental record count high for sediment macrolides
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | P. aeruginosa | Imipenem,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | E. coli | Nitrofurantoin,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot; signal amplifier,sediment | tetracyclines | E. coli | Tigecycline,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines; most influential province in LOO check
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | A. baumannii | Amikacin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Levofloxacin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | S. aureus | Amikacin,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Ceftazidime,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | S. aureus | Amikacin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Cefotetan,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | A. baumannii | Gentamicin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Amikacin,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | P. aeruginosa | Aztreonam,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Ceftazidime,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | A. baumannii | Polymyxin B,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | E. coli | Cefuroxime,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Polymyxin B,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | E. coli | Ceftriaxone,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Meropenem,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | E. coli | Cefepime,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot; signal amplifier,sediment | fluoroquinolones | S. aureus | Nitrofurantoin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones; most influential province in LOO check
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Imipenem,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | E. coli | Ampicillin,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot; signal amplifier,sediment | sulfonamides | K. pneumoniae | Aztreonam,Strong lead,21,sediment sulfonamides burden >= p90; environmental record count high for sediment sulfonamides; most influential province in LOO check
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Tobramycin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | A. baumannii | Imipenem,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | sulfonamides | A. baumannii | Gentamicin,Strong lead,21,sediment sulfonamides burden >= p90; environmental record count high for sediment sulfonamides
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Gentamicin,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Meropenem,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | macrolides | P. aeruginosa | Tobramycin,Strong lead,21,sediment macrolides burden >= p90; environmental record count high for sediment macrolides
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Amikacin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Ciprofloxacin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | K. pneumoniae | Aztreonam,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Nitrofurantoin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | S. aureus | Clindamycin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | sulfonamides | K. pneumoniae | Ampicillin,Strong lead,21,sediment sulfonamides burden >= p90; environmental record count high for sediment sulfonamides
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | E. coli | Gentamicin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | P. aeruginosa | Gentamicin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Ciprofloxacin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | E. coli | Cefotetan,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | macrolides | K. pneumoniae | Ceftriaxone,Strong lead,21,sediment macrolides burden >= p90; environmental record count high for sediment macrolides
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Gentamicin,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | macrolides | P. aeruginosa | Polymyxin B,Strong lead,21,sediment macrolides burden >= p90; environmental record count high for sediment macrolides
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | tetracyclines | E. coli | Cefotaxime,Strong lead,21,sediment tetracyclines burden >= p90; environmental record count high for sediment tetracyclines
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | fluoroquinolones | K. pneumoniae | Ertapenem,Strong lead,21,sediment fluoroquinolones burden >= p90; environmental record count high for sediment fluoroquinolones
Guangdong,2,Urban-industrial wastewater core,coverage outlier; matrix hotspot,sediment | macrolides | K. pneumoniae | Ampicillin,Strong lead,21,sediment macrolides burden >= p90; environmental record count high for sediment macrolides
Guangxi,1,Eastern production-infrastructure belt,signal reverser,sediment | macrolides | S. aureus | Penicillin G,Strong lead,21,low sediment macrolides burden within a high-scoring pathway
Guangxi,1,Eastern production-infrastructure belt,signal reverser,sediment | macrolides | P. aeruginosa | Tobramycin,Strong lead,21,low sediment macrolides burden within a high-scoring pathway
Guangxi,1,Eastern production-infrastructure belt,signal reverser,sediment | macrolides | K. pneumoniae | Ceftriaxone,Strong lead,21,low sediment macrolides burden within a high-scoring pathway
Guangxi,1,Eastern production-infrastructure belt,signal reverser,sediment | macrolides | P. aeruginosa | Polymyxin B,Strong lead,21,low sediment macrolides burden within a high-scoring pathway
Guangxi,1,Eastern production-infrastructure belt,signal reverser,sediment | macrolides | K. pneumoniae | Ampicillin,Strong lead,21,low sediment macrolides burden within a high-scoring pathway
Hainan,1,Eastern production-infrastructure belt,signal amplifier; signal reverser,sediment | sulfonamides | P. aeruginosa | Piperacillin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway; most influential province in LOO check
