table,name,definition,type,allowed_values,units,missing_value_rules
environmental_by_site,reference_number,Publication ID linking to Data_Sources / literature extract.,string,reference IDs as in source extracts (numeric or N-prefixed),n/a,NA/blank means not available or not reported in the curated table.
environmental_by_site,sample_type,Literature sample category (finer than matrix).,categorical,MSW incineration leachate; agricultural soil; aquaculture pond water; aquaculture wastewater; coastal water; groundwater; hospital wastewater; lake sediment; livestock wastewater; municipal sludge; municipal wastewater (urban sewer); municipal wastewater effluent; pharmaceutical wastewater; river water (suspended matter fraction); sediment; soil; surface water; surface water sediment; wastewater influent,n/a,Not missing in curated output; every row has a value.
environmental_by_site,sample_year,Year of environmental sampling when reported.,integer,calendar year,n/a,NA/blank means not available or not reported in the curated table.
environmental_by_site,season,Sampling season or month: Zhang month 1-12 or sparse supplemental text.,string,1-12 or free-text season labels,n/a,NA/blank means not available or not reported in the curated table.
environmental_cleaned,antibiotic,Antibiotic analyte name after cleaning.,string,antibiotic names as cleaned from literature sources,n/a,Not missing in curated output; every row has a value.
environmental_cleaned,antibiotic_class,Pharmacological class assigned from the project antibiotic group lookup.,categorical,Beta-lactams; Diaminopyrimidines; Fluoroquinolones; Lincosamides; Macrolides; Other; Phenicols; Quinolones; Sulfonamides; Tetracyclines,n/a,NA if the antibiotic is unmapped in the lookup.
environmental_cleaned,concentration_unit,Unit of mean_concentration and max_concentration after conversion.,categorical,ng/L; ng/g; ng/g dw,n/a,Not missing in curated output; every row has a value.
environmental_cleaned,matrix,Harmonized environmental matrix for cross-study comparison.,categorical,sediment; sludge; soil; surface water; wastewater effluent; wastewater influent,n/a,Not missing in curated output; every row has a value.
environmental_cleaned,max_concentration,Reported maximum environmental concentration when available.,numeric,non-negative numeric,see concentration_unit,NA/blank means not available or not reported in the curated table.
environmental_cleaned,mean_concentration,Reported or derived mean environmental concentration.,numeric,non-negative numeric,see concentration_unit,NA/blank means not available or not reported in the curated table.
environmental_cleaned,province,Province assigned to the measurement (English name).,categorical,Anhui; Beijing; Chongqing; Fujian; Gansu; Guangdong; Guangxi; Guizhou; Hainan; Hebei; Heilongjiang; Henan; Hubei; Hunan; Inner Mongolia; Jiangsu; Jiangxi; Jilin; Liaoning; Ningxia; Qinghai; Shaanxi; Shandong; Shanghai; Shanxi; Sichuan; Tianjin; Tibet; Xinjiang; Yunnan; Zhejiang,n/a,Not missing in curated output; every row has a value.
environmental_cleaned,reference_number,Publication ID linking to Data_Sources / literature extract.,string,reference IDs as in source extracts (numeric or N-prefixed),n/a,NA/blank means not available or not reported in the curated table.
environmental_cleaned,sample_type,Literature sample category (finer than matrix).,categorical,MSW incineration leachate; agricultural soil; aquaculture pond water; aquaculture wastewater; coastal water; groundwater; hospital wastewater; lake sediment; livestock wastewater; municipal sludge; municipal wastewater (urban sewer); municipal wastewater effluent; pharmaceutical wastewater; river water (suspended matter fraction); sediment; soil; surface water; surface water sediment; wastewater influent,n/a,Not missing in curated output; every row has a value.
environmental_cleaned,sample_year,Year of environmental sampling when reported.,integer,calendar year,n/a,NA/blank means not available or not reported in the curated table.
resistance_clean,antibiotic,Antibiotic tested; combo drugs dropped except Trimethoprim/Sulfamethoxazole.,string,drug names as cleaned from CARSS,n/a,Not missing in curated output; every row has a value.
resistance_clean,antibiotic_class,Pharmacological class assigned from the project antibiotic group lookup.,categorical,Beta-lactams; Diaminopyrimidines; Fluoroquinolones; Lincosamides; Macrolides; Other; Phenicols; Quinolones; Sulfonamides; Tetracyclines,n/a,NA if the antibiotic is unmapped in the lookup.
resistance_clean,bacteria_species,Pathogen species in the CARSS panel.,categorical,A. baumannii; E. coli; K. pneumoniae; P. aeruginosa; S. aureus,n/a,Not missing in curated output; every row has a value.
resistance_clean,intermediate_n_strains,Count of isolates classified intermediate.,integer,non-negative integer,strains,NA/blank means not available or not reported in the curated table.
resistance_clean,intermediate_percent,Percent of isolates classified intermediate.,percent,0-100,%,NA/blank means not available or not reported in the curated table.
resistance_clean,province,Provincial-level administrative unit (English name; Tibet for Xizang).,categorical,Anhui; Beijing; Chongqing; Fujian; Gansu; Guangdong; Guangxi; Guizhou; Hainan; Hebei; Heilongjiang; Henan; Hubei; Hunan; Inner Mongolia; Jiangsu; Jiangxi; Jilin; Liaoning; Ningxia; Qinghai; Shaanxi; Shandong; Shanghai; Shanxi; Sichuan; Tianjin; Tibet; Xinjiang; Yunnan; Zhejiang,n/a,Not missing in curated output; every row has a value.
resistance_clean,resistant_n_strains,Count of isolates classified resistant.,integer,non-negative integer,strains,NA/blank means not available or not reported in the curated table.
resistance_clean,resistant_percent,Percent of isolates classified resistant.,percent,0-100,%,NA/blank means not available or not reported in the curated table.
resistance_clean,sensitive_n_strains,Count of isolates classified sensitive/susceptible.,integer,non-negative integer,strains,NA/blank means not available or not reported in the curated table.
resistance_clean,sensitive_percent,Percent of isolates classified sensitive/susceptible.,percent,0-100,%,NA/blank means not available or not reported in the curated table.
resistance_clean,total_n_strains,Number of isolates tested for this province-year-bug-drug cell.,integer,non-negative integer,strains,NA/blank means not available or not reported in the curated table.
resistance_clean,year,CARSS surveillance year for the resistance panel.,integer,2019; 2020; 2021; 2022; 2023; 2024,n/a,Not missing in curated output; every row has a value.
yearbook_clean,E01_01_Autonomous_Counties,Autonomous Counties (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_01_Cities_at_County_Level,Cities at County Level (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_01_Cities_at_Prefecture_Level,Cities at Prefecture Level (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_01_Counties,Counties (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_01_Districts_under_Jurisdiction_of_Cities,Districts under Jurisdiction of Cities (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_01_Divisions_at_County_Level,Divisions at County Level (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_01_Divisions_at_Prefecture_Level,Divisions at Prefecture Level (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_01_Divisions_at_Township_Level,Divisions at Township Level (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_01_Subdistricts,Subdistricts (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_01_Towns,Towns (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_01_Townships,Townships (China Statistical Yearbook table E01_01),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Agriculture_Forestry_Animal_Husbandry_and_Fishery,Agriculture Forestry Animal Husbandry and Fishery (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Construction,Construction (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Culture_Sports_and_Entertainment,Culture Sports and Entertainment (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Education,Education (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Financial_Intermediation,Financial Intermediation (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Health_and_Social_Service,Health and Social Service (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Hotels_and_Catering_Services,Hotels and Catering Services (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Information_Transmission_Software_and_Information_Technology,Information Transmission Software and Information Technology (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Leasing_and_Business_Services,Leasing and Business Services (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Management_of_Water_Conservancy_Environment_and_Public_Facilities,Management of Water Conservancy Environment and Public Facilities (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Manufacturing,Manufacturing (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Mining,Mining (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Production_and_Supply_of_Electricity_Heating_Gas_and_Water,Production and Supply of Electricity Heating Gas and Water (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Public_Management_Social_Security_and_Social_Organization,Public Management Social Security and Social Organization (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Real_Estate,Real Estate (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Scientific_Research_and_Technical_Services,Scientific Research and Technical Services (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Services_to_Households_Repair_and_Other_Services,Services to Households Repair and Other Services (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Total,Total (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Transport_Storage_and_Post,Transport Storage and Post (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E01_05_Wholesale_and_Retail_Trades,Wholesale and Retail Trades (China Statistical Yearbook table E01_05),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_05_Population_at_year_end_2015,Population at year end 2015 (China Statistical Yearbook table E02_05),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_05_Population_at_year_end_2016,Population at year end 2016 (China Statistical Yearbook table E02_05),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_05_Population_at_year_end_2017,Population at year end 2017 (China Statistical Yearbook table E02_05),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_05_Population_at_year_end_2018,Population at year end 2018 (China Statistical Yearbook table E02_05),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_05_Population_at_year_end_2019,Population at year end 2019 (China Statistical Yearbook table E02_05),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_05_Population_at_year_end_2020,Population at year end 2020 (China Statistical Yearbook table E02_05),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_05_Population_at_year_end_2021,Population at year end 2021 (China Statistical Yearbook table E02_05),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_05_Population_at_year_end_2022,Population at year end 2022 (China Statistical Yearbook table E02_05),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_05_Population_at_year_end_2023,Population at year end 2023 (China Statistical Yearbook table E02_05),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_05_Population_at_year_end_2024,Population at year end 2024 (China Statistical Yearbook table E02_05),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_06_Urban_Population_Proportion_2015,Urban Population Proportion 2015 (China Statistical Yearbook table E02_06),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_06_Urban_Population_Proportion_2016,Urban Population Proportion 2016 (China Statistical Yearbook table E02_06),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_06_Urban_Population_Proportion_2017,Urban Population Proportion 2017 (China Statistical Yearbook table E02_06),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_06_Urban_Population_Proportion_2018,Urban Population Proportion 2018 (China Statistical Yearbook table E02_06),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_06_Urban_Population_Proportion_2019,Urban Population Proportion 2019 (China Statistical Yearbook table E02_06),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_06_Urban_Population_Proportion_2020,Urban Population Proportion 2020 (China Statistical Yearbook table E02_06),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_06_Urban_Population_Proportion_2021,Urban Population Proportion 2021 (China Statistical Yearbook table E02_06),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_06_Urban_Population_Proportion_2022,Urban Population Proportion 2022 (China Statistical Yearbook table E02_06),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_06_Urban_Population_Proportion_2023,Urban Population Proportion 2023 (China Statistical Yearbook table E02_06),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_06_Urban_Population_Proportion_2024,Urban Population Proportion 2024 (China Statistical Yearbook table E02_06),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_07_Birth_Rate,Birth Rate (China Statistical Yearbook table E02_07),rate,non-negative numeric; typically 0-1000,per_mille,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_07_Death_Rate,Death Rate (China Statistical Yearbook table E02_07),rate,non-negative numeric; typically 0-1000,per_mille,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_07_Natural_Growth_Rate,Natural Growth Rate (China Statistical Yearbook table E02_07),rate,non-negative numeric; typically 0-1000,per_mille,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_07_Rural_Population,Rural Population (China Statistical Yearbook table E02_07),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_07_Rural_Population_Proportion,Rural Population Proportion (China Statistical Yearbook table E02_07),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_07_Total_Population_year_end,Total Population year end (China Statistical Yearbook table E02_07),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_07_Urban_Population,Urban Population (China Statistical Yearbook table E02_07),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E02_07_Urban_Population_Proportion,Urban Population Proportion (China Statistical Yearbook table E02_07),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Agriculture_Forestry_Animal_Husbandry_and_Fishery,Agriculture Forestry Animal Husbandry and Fishery (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Construction,Construction (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Financial_Intermediation,Financial Intermediation (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
