antibiotic,antibiotic_group,primary_source,environmental_signature
Sulfanitran,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfaphenazole,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfapyridine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfaquinoxaline,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfathiazole,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfisomidine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfisoxazole,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Teicoplanin,Glycopeptides,Clinical,Very low environmental concentrations; last-resort antibiotics
Vancomycin,Glycopeptides,Clinical,Very low environmental concentrations; last-resort antibiotics
Linezolid,Oxazolidinones,Clinical,Emerging contaminant; detected in hospital wastewater
Nitrofurantoin,Nitrofurans,Clinical,Low persistence; primarily in hospital effluents
Rifampicin,Rifamycins,Clinical,Low environmental detection; specialized use
Trimethoprim,Dihydrofolate reductase inhibitors,Clinical + Agriculture,Often paired with sulfonamides; moderate mobility
