metric,identity_top_cluster_id_2024,identity_top_cluster_name_2024,trend_fastest_increase_cluster_id,trend_fastest_increase_cluster_name,trend_fastest_decrease_cluster_id,trend_fastest_decrease_cluster_name,disagreement_note
E12_10_Grain,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Mulberry_Silkworm_Cocoons,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Peanuts,2,Urban-industrial wastewater core,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Pears,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Silkworm_Cocoons,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Sugar_Crops,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Sugarcane,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Tea,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Tubers,2,Urban-industrial wastewater core,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Wheat,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_14_Milk,3,Inland surveillance-gap belt,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
